date,downloads, data
2014-05-13,106475,0.809499
2014-05-14,116479,0.867834
2014-05-15,117920,0.854699
2014-05-16,102612,0.810589
2014-05-17,72394,0.526659
2014-05-18,71766,0.514304
2014-05-19,107595,0.835247
2014-05-20,114862,0.895904
2014-05-21,118338,0.915169
2014-05-22,114744,0.904339
2014-05-23,107766,0.841005
2014-05-24,71106,0.544008
2014-05-25,66055,0.511203
2014-05-26,95440,0.700114
2014-05-27,106903,0.826785
2014-05-28,113806,0.933219
2014-05-29,109204,0.888179
2014-05-30,98857,0.81425
2014-05-31,64711,0.514507
2014-06-01,61422,0.503246
2014-06-02,96423,0.823668
2014-06-03,111009,0.910543
2014-06-04,113035,0.90476
2014-06-05,108170,0.885948
2014-06-06,103189,0.852777
2014-06-07,67751,0.544884
2014-06-08,60894,0.490074
2014-06-09,102157,0.837828
2014-06-10,112295,0.919724
2014-06-11,110249,0.925745
2014-06-12,104993,0.882007
2014-06-13,102658,0.889535
2014-06-14,62898,0.536533
2014-06-15,59501,0.496205
2014-06-16,102472,0.838134
2014-06-17,116621,0.946668
2014-06-18,109719,0.904196
2014-06-19,111920,0.940052
2014-06-20,104020,0.881326
2014-06-21,69619,0.559555
2014-06-22,66510,0.526603
2014-06-23,117288,0.923778
2014-06-24,117120,0.936167
2014-06-25,113601,0.907884
2014-06-26,115356,0.929722
2014-06-27,109763,0.905416
2014-06-28,72582,0.585218
2014-06-29,67679,0.527623
2014-06-30,106141,0.87554
2014-07-01,117254,0.932205
2014-07-02,117180,0.950789
2014-07-03,114254,0.929545
2014-07-04,93282,0.720675
2014-07-05,63074,0.477782
2014-07-06,64598,0.510803
2014-07-07,108883,0.866292
2014-07-08,112276,0.892735
2014-07-09,111745,0.88151
2014-07-10,114984,0.91862
2014-07-11,112584,0.904409
2014-07-12,75248,0.580549
2014-07-13,65119,0.512751
2014-07-14,110671,0.86411
2014-07-15,115671,0.891468
2014-07-16,114421,0.896804
2014-07-17,112600,0.877552
2014-07-18,108284,0.898022
2014-07-19,80707,0.588095
2014-07-20,75944,0.552812
2014-07-21,123877,0.932785
2014-07-22,130509,0.990846
2014-07-23,125327,0.954599
2014-07-24,124412,0.941569
2014-07-25,119544,0.909954
2014-07-26,82371,0.623166
2014-07-27,78666,0.594805
2014-07-28,123054,0.916625
2014-07-29,124052,0.937302
2014-07-30,127417,1.01334
2014-07-31,128831,1.00277
